Tweets,Name,data,location,favorite_count,verified,created_at,retweet_count
"Collaboration and more open access to data have made seemingly impossible health breakthroughs a reality, like COVID-19 vaccines. @AlzData is putting the power of data behind one of our most critical health challenges. https://t.co/Qtatf2WMds",Bill Gates,2022-11-18 20:52:59+00:00,"Seattle, WA",712,True,2009-06-24 18:44:10+00:00,86
"From decreasing maternal mortality to lowering rates of vaccine-preventable diseases, @WendoAszed is a true hero in her community. https://t.co/tuAz440QNx",Bill Gates,2022-11-18 18:51:11+00:00,"Seattle, WA",872,True,2009-06-24 18:44:10+00:00,122
"Africa has always been at the heart of our foundation’s mission. Today, we are announcing our commitment of $7 billion over the next 4 years for the development of more breakthrough innovations in health and agriculture across the continent. https://t.co/imh57I2hdg",Bill Gates,2022-11-17 20:27:13+00:00,"Seattle, WA",1715,True,2009-06-24 18:44:10+00:00,269
@Amref_Worldwide is doing great things for health within Kenya and across Africa thanks to the leadership of @daktari1. It was a pleasure to meet with you. https://t.co/qTDcW0N0hF,Bill Gates,2022-11-17 20:05:19+00:00,"Seattle, WA",220,True,2009-06-24 18:44:10+00:00,30
Many people don’t know that Mike was a champion for and leader on PEPFAR – the President’s Emergency Plan for AIDS Relief – which has saved millions of lives. It’s one of the best things this country has ever done. It will be a lasting part of his legacy.,Bill Gates,2022-11-17 19:07:18+00:00,"Seattle, WA",838,True,2009-06-24 18:44:10+00:00,77
"I’m very sad to hear about Michael Gerson’s passing. We spoke many times over the years, especially about global health, and when I started talking about pandemic prevention back in 2015, he was one of the first journalists I wanted to talk to. https://t.co/1MUgLtwhi1",Bill Gates,2022-11-17 19:07:17+00:00,"Seattle, WA",1351,True,2009-06-24 18:44:10+00:00,175
"@KenyaGovernors @gatesfoundation It was a pleasure to join this roundtable to learn more about Kenya’s progress. It is great to be back in Kenya. So much has changed since my last visit, and it’s exciting to come and see it first-hand.",Bill Gates,2022-11-17 18:36:48+00:00,"Seattle, WA",27,True,2009-06-24 18:44:10+00:00,3
RT @Africa_com: https://t.co/p2DkutFiFM is excited to host Bill Gates in an exclusive conversation for the https://t.co/p2DkutFiFM virtual…,Bill Gates,2022-11-16 20:55:31+00:00,"Seattle, WA",0,True,2009-06-24 18:44:10+00:00,128
"I’m in Kenya this week to learn from researchers, innovators, students, and leaders about what’s working, what’s not, and how the foundation can better support progress in Kenya and across the continent. https://t.co/FrWWrRYCA6 https://t.co/VVe4w3ZkT1",Bill Gates,2022-11-16 20:18:54+00:00,"Seattle, WA",17684,True,2009-06-24 18:44:10+00:00,1824
Thank you for having me. I’m excited to be here in Kenya this week to see how much progress has been made. https://t.co/AE84KokmEO,Bill Gates,2022-11-16 19:36:58+00:00,"Seattle, WA",4863,True,2009-06-24 18:44:10+00:00,484
"@OfficialMakueni Thank you. I enjoyed learning from your health team, as well as some of the remarkable individuals who make up the community.",Bill Gates,2022-11-16 19:34:34+00:00,"Seattle, WA",29,True,2009-06-24 18:44:10+00:00,9
"I believe everyone has a role to play in addressing climate change. Whether you’re an entrepreneur, an inventor, or consumer, we can all help avoid a climate disaster. https://t.co/qlLNjgq2XD",Bill Gates,2022-11-15 18:55:28+00:00,"Seattle, WA",2676,True,2009-06-24 18:44:10+00:00,411
"When it comes to alleviating the impacts of #climatechange on smallholder farmers, the goal should not simply be giving more food aid. It should be to ensure no aid is needed in the first place. https://t.co/POXDnJo0tN #COP27",Bill Gates,2022-11-14 02:24:53+00:00,"Seattle, WA",1974,True,2009-06-24 18:44:10+00:00,292
Those of us who have done the most to cause this problem should help the rest of the world survive it. We owe them that much. https://t.co/H4dLsGFelO,Bill Gates,2022-11-12 23:37:19+00:00,"Seattle, WA",2460,True,2009-06-24 18:44:10+00:00,430
"More than 670,000 children die from pneumonia every year. Inventprise is working to change that. #WorldPneumoniaDay https://t.co/b84FmxsOxA",Bill Gates,2022-11-12 16:38:54+00:00,"Seattle, WA",1899,True,2009-06-24 18:44:10+00:00,266
"While the last steps are proving to be the toughest, I’m optimistic we will eradicate polio. I recently visited @KU_Leuven’s Rega Institute where they’re testing preventative medicine – an important step toward a polio-free world. https://t.co/VOiM8Yla5I",Bill Gates,2022-11-10 22:00:16+00:00,"Seattle, WA",2450,True,2009-06-24 18:44:10+00:00,231
"The climate crisis is already devastating communities. More funding is necessary to ensure agricultural and technological innovations are widely available to the most vulnerable, helping them adapt to climate change, save lives, and increase economic opportunity. https://t.co/KvQAM73myZ",Bill Gates,2022-11-07 23:38:09+00:00,"Seattle, WA",1988,True,2009-06-24 18:44:10+00:00,318
I have never met anyone who was more passionate about reducing the world’s worst inequities in health than Paul Farmer. I continue to learn from my dear friend’s life and legacy today. https://t.co/Mk3HFoiqEn,Bill Gates,2022-11-04 16:49:54+00:00,"Seattle, WA",1961,True,2009-06-24 18:44:10+00:00,270
"More than 1B people globally still suffer from #NTDs, many caused by parasites. I got a firsthand look at these creepy crawlies at the Parasitic Museum in Tokyo. The more we understand them, the better we can address the diseases they cause. https://t.co/jDjFYCFVgv",Bill Gates,2022-11-03 21:47:29+00:00,"Seattle, WA",1775,True,2009-06-24 18:44:10+00:00,238
"This year's #BESummit2022 brought together investors, policymakers, and innovators to tackle one of the world’s toughest problems: climate change. https://t.co/nZ4SWXKrhk",Bill Gates,2022-11-03 17:09:17+00:00,"Seattle, WA",1572,True,2009-06-24 18:44:10+00:00,223
