,Tweets,Subjectivity,Polarity,Analysis
0, It is tragic how far The New York Times has fallen – basically just boring af far left brainwashing at this point. The boring part is truly unforgivable!,0.7435064935064936,-0.3448051948051948,Negative
1,World Cup starts soon! Follow on Twitter for best coverage by far.,0.65,0.55,Positive
2, 🤣,0.0,0.0,Neutral
3, Sure as night follows day …,0.8888888888888888,0.5,Positive
4,  Hey stop defaming me!,0.0,0.0,Neutral
5, 🔥🔥,0.0,0.0,Neutral
6,Twitter is ALIVE,0.4,0.1,Positive
7,    Good idea,0.6000000000000001,0.7,Positive
8,   Their posts are super boring,0.8333333333333333,-0.33333333333333337,Negative
9,  They should bring Walter Cronkite back,0.0,0.0,Neutral
10, Oh forget it who cares,0.0,0.0,Neutral
11,  🤣💯,0.0,0.0,Neutral
12, Who made this decision?,0.0,0.0,Neutral
13, 😉,0.0,0.0,Neutral
14, Twitter engineering is working on it,0.0,0.0,Neutral
15,: Inside Tesla exhibit at Petersen Automotive Museum opens tomorrow ,0.0,0.0,Neutral
16, Server load is insane rn. Good stress test before World Cup tomorrow!,0.8,-0.0625,Negative
17, Well-said,0.0,0.0,Neutral
18, Lmaooo,0.0,0.0,Neutral
19,: Twitter servers right now ,0.5357142857142857,0.2857142857142857,Positive
20, 🤣🤣,0.0,0.0,Neutral
21,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. ",0.0,0.0,Neutral
22, 🤣 but actually,0.1,0.0,Neutral
23, 🤣,0.0,0.0,Neutral
24,134M people have seen this poll,0.0,0.0,Neutral
25, Red Bull does work tbh,0.0,0.0,Neutral
26,  Definitely need to improve Twitter’s dopamine/cortisol ratio!,0.5,0.0,Neutral
27,  I agree,0.0,0.0,Neutral
28, 🤣🤣,0.0,0.0,Neutral
29,The most entertaining outcome is the most likely – my variant on Occam’s Razor,0.675,0.375,Positive
30, Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),0.6,-0.43333333333333335,Negative
31," Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",0.5333333333333333,0.3,Positive
32, Most accurate would be to require access to phone GPS for location-specific polls,0.5666666666666667,0.45000000000000007,Positive
33, Yes,0.0,0.0,Neutral
34,Fascinating to watch Twitter Trump poll!,0.8500000000000001,0.875,Positive
35,_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,0.4416666666666667,0.2888888888888889,Positive
36, Good question,0.6000000000000001,0.7,Positive
37, Most amount of people I’ve ever seen in the building by far,0.75,0.3,Positive
38, 🤣🤣,0.0,0.0,Neutral
39,   That was certainly my intention too!,0.5714285714285714,0.26785714285714285,Positive
40,Tesla FSD 10.69.3.1 going to wide release now,0.4,-0.1,Negative
41,Just leaving Twitter HQ code review ,0.0,0.0,Neutral
42,_1x The bot attack is impressive to watch!,1.0,1.0,Positive
43,Trump poll getting ~1M votes/hour!,0.0,0.0,Neutral
44, Can’t tell if this is parody or real,0.30000000000000004,0.2,Positive
